00:04:49.153 logback [main] INFO  com.SpringWebBootStrap - Starting SpringWebBootStrap on ZKHGUYG0GEXPTS2 with PID 6232 (F:\Intellij_IDEA\activemqtest\web\target\classes started by Administrator in F:\Intellij_IDEA\activemqtest\web)
00:04:49.166 logback [main] INFO  com.SpringWebBootStrap - The following profiles are active: mysql,mybatis,log,rabbitmq
00:04:59.807 logback [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
00:05:00.157 logback [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"]
00:05:00.178 logback [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
00:05:00.178 logback [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.17]
00:05:00.192 logback [main] INFO  o.a.c.core.AprLifecycleListener - An older version [1.2.16] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.21]
00:05:00.193 logback [main] INFO  o.a.c.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.16] using APR version [1.6.3].
00:05:00.193 logback [main] INFO  o.a.c.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
00:05:00.194 logback [main] INFO  o.a.c.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
00:05:01.286 logback [main] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
00:05:01.506 logback [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
00:05:01.507 logback [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 12074 ms
00:05:01.727 logback [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
00:05:02.330 logback [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
00:05:03.769 logback [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
00:05:05.485 logback [main] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
00:05:05.583 logback [main] INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#4d6c93fd:0/SimpleConnection@e7d7618 [delegate=amqp://lee@127.0.0.1:5672/, localPort= 51758]
00:05:05.982 logback [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
00:05:06.143 logback [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
00:05:06.169 logback [main] INFO  com.SpringWebBootStrap - Started SpringWebBootStrap in 18.942 seconds (JVM running for 32.061)
00:07:34.823 logback [rebel-change-detector-thread] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.dao]' package. Please check your configuration.
00:08:41.444 logback [rebel-change-detector-thread] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.dao]' package. Please check your configuration.
00:09:30.392 logback [rebel-change-detector-thread] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.dao]' package. Please check your configuration.
00:11:10.463 logback [rebel-change-detector-thread] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.dao]' package. Please check your configuration.
